id,question,reference_answer,category,difficulty,source_file,source_page_pdf,expected_keywords
"13","Đinh Bộ Lĩnh đặt quốc hiệu là gì?","Đại Cồ Việt.","Thế kỷ X","dễ","Lịch sử Việt Nam 2.pdf","76","Đại|Việt"
"14","Ai lãnh đạo cuộc kháng chiến chống Tống năm 981?","Lê Hoàn.","Thế kỷ X","dễ","Lịch sử Việt Nam 2.pdf","100","Hoàn"
"15","Vua nào ban Chiếu dời đô từ Hoa Lư ra Đại La?","Lý Công Uẩn (Lý Thái Tổ).","Nhà Lý","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","120","Công|Uẩn|Thái"
"16","Năm 1010, thành Đại La được đổi tên thành gì?","Thăng Long.","Nhà Lý","dễ","Lịch sử Việt Nam 2.pdf","152","Thăng|Long"
"17","Năm 1054, nhà Lý đổi quốc hiệu thành gì?","Đại Việt.","Nhà Lý","dễ","Lịch sử Việt Nam 2.pdf","217","Đại|Việt"
"18","Quốc Tử Giám được thành lập vào năm nào?","Năm 1076.","Nhà Lý","trung bình","Lịch sử Việt Nam 2.pdf","168","1076"
"19","Ai chỉ huy cuộc tiến công sang Ung Châu năm 1075?","Lý Thường Kiệt.","Nhà Lý","dễ","Lịch sử Việt Nam 2.pdf","262","Kiệt"
"20","Phòng tuyến chống Tống năm 1077 được xây dựng trên sông nào?","Sông Như Nguyệt (sông Cầu).","Nhà Lý","dễ","Lịch sử Việt Nam 2.pdf","243","Sông|Như|Nguyệt|sông|Cầu"
"21","Ba lần quân Mông - Nguyên xâm lược Đại Việt diễn ra vào những năm nào?","Các năm 1258, 1285 và 1288 (cuộc lần thứ ba bắt đầu từ cuối năm 1287).","Nhà Trần","trung bình","Lịch sử Việt Nam 2.pdf","604","1258|1285|1288|1287"
"22","Hội nghị Diên Hồng được triệu tập để bàn việc gì?","Hỏi ý kiến các bô lão về chủ trương đánh hay hòa trước cuộc xâm lược Nguyên - Mông.","Nhà Trần","trung bình","Lịch sử Việt Nam 2.pdf","527","Hỏi|kiến|lão|chủ|trương|đánh|hay|hòa|trước|xâm"
"23","Ai là tổng chỉ huy quân Đại Việt trong kháng chiến chống Nguyên - Mông lần thứ ba?","Trần Quốc Tuấn (Hưng Đạo Vương).","Nhà Trần","dễ","Lịch sử Việt Nam 2.pdf","387","Trần|Quốc|Tuấn|Hưng|Đạo|Vương"
"24","Trận quyết chiến kết thúc cuộc kháng chiến năm 1288 diễn ra ở đâu?","Trên sông Bạch Đằng.","Nhà Trần","dễ","Lịch sử Việt Nam 2.pdf","680","Trên|sông|Bạch|Đằng"
"25","Năm 1400, Hồ Quý Ly đặt quốc hiệu mới là gì?","Đại Ngu.","Nhà Hồ","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","252","Đại|Ngu"
"26","Khởi nghĩa Lam Sơn bắt đầu vào năm nào?","Năm 1418.","Khởi nghĩa Lam Sơn","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","280","1418"
"27","Ai là người viết Bình Ngô đại cáo?","Nguyễn Trãi.","Nhà Lê sơ","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","280","Nguyễn|Trãi"
"28","Lê Lợi lên ngôi hoàng đế vào năm nào?","Năm 1428.","Nhà Lê sơ","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","317","1428"
"29","Bộ luật nổi tiếng dưới triều Lê Thánh Tông thường được gọi là gì?","Luật Hồng Đức.","Nhà Lê sơ","dễ","Lịch sử Việt Nam 5.pdf","512","Luật|Hồng|Đức"
"30","Ai lập ra nhà Mạc vào năm 1527?","Mạc Đăng Dung.","Thế kỷ XVI","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","339","Mạc|Đăng|Dung"
"31","Nguyễn Hoàng vào trấn thủ Thuận Hóa vào năm nào?","Năm 1558.","Thế kỷ XVI","trung bình","Lịch sử Việt Nam 4.pdf","28","1558"
"32","Ai được chúa Nguyễn cử vào kinh lược vùng đất Đồng Nai - Sài Gòn năm 1698?","Nguyễn Hữu Cảnh.","Nam tiến","trung bình","Lịch sử Việt Nam 4.pdf","152","Nguyễn|Hữu|Cảnh"
"33","Đội Hoàng Sa thời chúa Nguyễn chủ yếu lấy người ở xã nào?","Xã An Vĩnh, huyện Bình Sơn, phủ Quảng Ngãi.","Biển đảo","trung bình","Lịch sử Việt Nam 4.pdf","162","Vĩnh|huyện|Bình|Sơn|phủ|Quảng|Ngãi"
"34","Khởi nghĩa Tây Sơn bùng nổ vào năm nào?","Năm 1771.","Tây Sơn","dễ","Lịch sử Việt Nam 4.pdf","334","1771"
"35","Ai chỉ huy quân Tây Sơn đánh bại quân Xiêm ở Rạch Gầm - Xoài Mút?","Nguyễn Huệ.","Tây Sơn","dễ","Lịch sử Việt Nam 4.pdf","361","Nguyễn|Huệ"
"36","Nguyễn Huệ lên ngôi hoàng đế lấy niên hiệu gì?","Quang Trung.","Tây Sơn","dễ","Lịch sử Việt Nam 4.pdf","384","Quang|Trung"
"37","Chiến thắng Ngọc Hồi - Đống Đa đánh bại quân xâm lược nào?","Quân Thanh.","Tây Sơn","dễ","Lịch sử Việt Nam 4.pdf","382","Quân|Thanh"
"38","Nguyễn Ánh lên ngôi hoàng đế, lấy niên hiệu Gia Long vào năm nào?","Năm 1802.","Nhà Nguyễn","dễ","Lịch sử Việt Nam 4.pdf","487","1802"
"39","Cải cách hành chính Minh Mạng năm 1831-1832 chia cả nước thành bao nhiêu tỉnh?","30 tỉnh và phủ Thừa Thiên trực thuộc trung ương.","Nhà Nguyễn","trung bình","Lịch sử Việt Nam 6.pdf","36","30|tỉnh|phủ|Thừa|Thiên|trung|ương"
"40","Khoa thi Hương đầu tiên dưới triều Gia Long được tổ chức năm nào?","Năm 1807.","Nhà Nguyễn","trung bình","Lịch sử Việt Nam 5.pdf","42","1807"
"41","Liên quân Pháp - Tây Ban Nha mở đầu cuộc xâm lược Việt Nam ở đâu và khi nào?","Tại Đà Nẵng ngày 1-9-1858.","Chống Pháp","dễ","Lịch sử Việt Nam 6.pdf","98","Nẵng|1-9-1858"
"42","Thực dân Pháp đánh chiếm thành Gia Định vào năm nào?","Năm 1859.","Chống Pháp","dễ","Lịch sử Việt Nam 6.pdf","103","1859"
"43","Hiệp ước Nhâm Tuất được ký vào năm nào?","Năm 1862.","Chống Pháp","dễ","Lịch sử Việt Nam 6.pdf","133","1862"
"44","Theo Hiệp ước Nhâm Tuất, triều Nguyễn nhượng cho Pháp ba tỉnh miền Đông nào?","Gia Định, Định Tường và Biên Hòa.","Chống Pháp","trung bình","Lịch sử Việt Nam 6.pdf","136","Gia|Định|Tường|Biên|Hòa"
"45","Chiếu Cần Vương được ban bố vào năm nào?","Năm 1885.","Phong trào Cần Vương","dễ","Lịch sử Việt Nam 6.pdf","240","1885"
"46","Ai thay mặt vua Hàm Nghi ban Chiếu Cần Vương?","Tôn Thất Thuyết.","Phong trào Cần Vương","dễ","Lịch sử Việt Nam 6.pdf","240","Tôn|Thất|Thuyết"
"47","Khởi nghĩa Hương Khê do ai lãnh đạo?","Phan Đình Phùng và Cao Thắng.","Phong trào Cần Vương","dễ","Lịch sử Việt Nam 6.pdf","254","Phan|Đình|Phùng|Cao|Thắng"
"48","Khởi nghĩa Yên Thế gắn với tên tuổi thủ lĩnh nào?","Hoàng Hoa Thám (Đề Thám).","Phong trào yêu nước","dễ","Lịch sử Việt Nam 7.pdf","254","Hoàng|Hoa|Thám"
"49","Phong trào Đông Du do ai khởi xướng?","Phan Bội Châu.","Phong trào yêu nước","dễ","Lịch sử Việt Nam 7.pdf","178","Phan|Bội|Châu"
"50","Đông Kinh Nghĩa Thục được thành lập tại Hà Nội vào năm nào?","Năm 1907.","Phong trào yêu nước","dễ","Lịch sử Việt Nam 7.pdf","123","1907"
"51","Nguyễn Tất Thành ra đi tìm đường cứu nước vào ngày nào?","Ngày 5-6-1911.","Hồ Chí Minh","dễ","bachotulangsendenbadinh.pdf","66","5-6-1911"
"52","Nguyễn Tất Thành ra đi tìm đường cứu nước từ địa điểm nào?","Bến Nhà Rồng, Sài Gòn.","Hồ Chí Minh","dễ","bachotulangsendenbadinh.pdf","66","Bến|Nhà|Rồng|Sài|Gòn"
"53","Hội Việt Nam Cách mạng Thanh niên được thành lập vào thời gian nào?","Tháng 6-1925 tại Quảng Châu.","Cách mạng 1925-1930","trung bình","Lịch sử Việt Nam 8.pdf","480","6-1925|Quảng|Châu"
"54","Báo Thanh Niên ra số đầu tiên vào ngày nào?","Ngày 21-6-1925.","Cách mạng 1925-1930","trung bình","Lịch sử Việt Nam 8.pdf","479","21-6-1925"
"55","Ba tổ chức cộng sản ở Việt Nam ra đời trong năm nào?","Năm 1929.","Cách mạng 1925-1930","dễ","Lịch sử Việt Nam 8.pdf","550","1929"
"56","Đảng Cộng sản Việt Nam được thành lập vào ngày nào?","Ngày 3-2-1930.","Cách mạng 1930-1945","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","760","3-2-1930"
"57","Ai chủ trì hội nghị thành lập Đảng Cộng sản Việt Nam?","Nguyễn Ái Quốc.","Cách mạng 1930-1945","dễ","Lịch sử Việt Nam 9.pdf","250","Nguyễn|Quốc"
"58","Tổng Bí thư đầu tiên của Đảng Cộng sản Đông Dương là ai?","Trần Phú.","Cách mạng 1930-1945","dễ","Lịch sử Việt Nam 9.pdf","261","Trần|Phú"
"59","Phong trào Xô viết Nghệ - Tĩnh đạt cao trào trong thời gian nào?","Trong những năm 1930-1931.","Cách mạng 1930-1945","dễ","Lịch sử Việt Nam 9.pdf","42","Trong|những|1930-1931"
"60","Mặt trận Việt Minh được thành lập vào ngày nào?","Ngày 19-5-1941.","Cách mạng 1930-1945","dễ","bachotulangsendenbadinh.pdf","221","19-5-1941"
"61","Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập vào ngày nào?","Ngày 22-12-1944.","Cách mạng 1930-1945","dễ","Lịch sử Quân đội NDVN t1_text.pdf","84","22-12-1944"
"62","Ai được giao tổ chức và chỉ huy Đội Việt Nam Tuyên truyền Giải phóng quân?","Võ Nguyên Giáp.","Cách mạng 1930-1945","dễ","Lịch sử Quân đội NDVN t1_text.pdf","82","Nguyên|Giáp"
"63","Khi mới thành lập, Đội Việt Nam Tuyên truyền Giải phóng quân có bao nhiêu chiến sĩ?","34 chiến sĩ.","Cách mạng 1930-1945","trung bình","Lịch sử Việt Nam 9.pdf","652","34|chiến"
"64","Nhật đảo chính Pháp ở Đông Dương vào ngày nào?","Ngày 9-3-1945.","Cách mạng 1930-1945","dễ","Lịch sử Việt Nam 10.pdf","62","9-3-1945"
"65","Chỉ thị “Nhật - Pháp bắn nhau và hành động của chúng ta” ra đời vào ngày nào?","Ngày 12-3-1945.","Cách mạng 1930-1945","trung bình","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","821","12-3-1945"
"66","Nhân dân Hà Nội giành chính quyền trong Cách mạng tháng Tám vào ngày nào?","Ngày 19-8-1945.","Cách mạng tháng Tám","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","827","19-8-1945"
"67","Vua Bảo Đại tuyên bố thoái vị vào ngày nào?","Ngày 30-8-1945.","Cách mạng tháng Tám","trung bình","Lịch sử Việt Nam 9.pdf","713","30-8-1945"
"68","Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập vào ngày nào?","Ngày 2-9-1945.","Việt Nam 1945-1946","dễ","Lịch sử Việt Nam 10.pdf","23","2-9-1945"
"69","Tuyên ngôn Độc lập được đọc tại đâu?","Quảng trường Ba Đình, Hà Nội.","Việt Nam 1945-1946","dễ","Lịch sử Việt Nam 10.pdf","23","Quảng|trường|Đình|Nội"
"70","Cuộc Tổng tuyển cử đầu tiên của nước Việt Nam Dân chủ Cộng hòa diễn ra ngày nào?","Ngày 6-1-1946.","Việt Nam 1945-1946","dễ","Lịch sử Việt Nam 10.pdf","80","6-1-1946"
"71","Hiệp định Sơ bộ Việt - Pháp được ký ngày nào?","Ngày 6-3-1946.","Việt Nam 1945-1946","dễ","Lịch sử Việt Nam 10.pdf","64","6-3-1946"
"72","Toàn quốc kháng chiến chống thực dân Pháp bùng nổ vào ngày nào?","Ngày 19-12-1946.","Kháng chiến chống Pháp","dễ","Lịch sử Việt Nam 10.pdf","190","19-12-1946"
"73","Chiến thắng Việt Bắc Thu - Đông 1947 đã làm phá sản chiến lược nào của Pháp?","Chiến lược “đánh nhanh, thắng nhanh”.","Kháng chiến chống Pháp","trung bình","Lịch sử Việt Nam 10.pdf","311","Chiến|lược|“đánh|nhanh|thắng|nhanh”"
"74","Chiến dịch Biên giới năm 1950 mở màn bằng trận đánh cứ điểm nào?","Đông Khê.","Kháng chiến chống Pháp","trung bình","Lịch sử Quân đội NDVN t1_text.pdf","298","Đông|Khê"
"75","Đại hội đại biểu toàn quốc lần thứ II của Đảng họp vào thời gian nào?","Tháng 2-1951.","Kháng chiến chống Pháp","trung bình","Lịch sử Việt Nam 11.pdf","43","2-1951"
"76","Chiến dịch Điện Biên Phủ mở màn vào ngày nào?","Ngày 13-3-1954.","Điện Biên Phủ","dễ","Lịch sử Việt Nam 11.pdf","411","13-3-1954"
"77","Cứ điểm nào bị quân ta tiêu diệt trong trận mở màn Chiến dịch Điện Biên Phủ?","Him Lam.","Điện Biên Phủ","trung bình","Lịch sử Việt Nam 11.pdf","411","Him|Lam"
"78","Chiến dịch Điện Biên Phủ toàn thắng vào ngày nào?","Ngày 7-5-1954.","Điện Biên Phủ","dễ","Lịch sử Việt Nam 11.pdf","388","7-5-1954"
"79","Tướng Pháp nào bị bắt tại sở chỉ huy tập đoàn cứ điểm Điện Biên Phủ?","Christian de Castries (Đờ Cátxtơri).","Điện Biên Phủ","dễ","Lịch sử Quân đội NDVN t1_text.pdf","444","Christian|Castries|Cátxtơri"
"80","Hiệp định Genève về Đông Dương được ký kết vào ngày nào?","Ngày 21-7-1954.","Hiệp định Genève","dễ","Đại cương Lịch sử Việt Nam toàn tập - từ thời nguyên thuỷ đến năm 2000_text.pdf","950","21-7-1954"
"81","Theo Hiệp định Genève, giới tuyến quân sự tạm thời ở Việt Nam nằm gần vĩ tuyến nào?","Vĩ tuyến 17.","Hiệp định Genève","dễ","Lịch sử Việt Nam 11.pdf","437","tuyến|17"
"82","Ngày Giải phóng Thủ đô Hà Nội là ngày nào?","Ngày 10-10-1954.","Miền Bắc 1954","dễ","Lịch sử Việt Nam 12.pdf","28","10-10-1954"
"83","Phong trào Đồng khởi bùng nổ tiêu biểu đầu tiên ở tỉnh nào?","Bến Tre.","Kháng chiến chống Mỹ","dễ","Lịch sử Việt Nam 12.pdf","261","Bến|Tre"
"84","Mặt trận Dân tộc Giải phóng miền Nam Việt Nam được thành lập ngày nào?","Ngày 20-12-1960.","Kháng chiến chống Mỹ","dễ","Lịch sử Việt Nam 12.pdf","444","20-12-1960"
"85","Chiến thắng Vạn Tường diễn ra vào ngày nào?","Ngày 18-8-1965.","Kháng chiến chống Mỹ","trung bình","Lịch sử Việt Nam 13.pdf","179","18-8-1965"
"86","Cuộc Tổng tiến công và nổi dậy Tết Mậu Thân diễn ra vào năm nào?","Năm 1968.","Kháng chiến chống Mỹ","dễ","Lịch sử Việt Nam 13.pdf","135","1968"
"87","Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam được thành lập ngày nào?","Ngày 6-6-1969.","Kháng chiến chống Mỹ","trung bình","Lịch sử Việt Nam 13.pdf","441","6-6-1969"
"88","Chủ tịch Hồ Chí Minh qua đời vào ngày nào?","Ngày 2-9-1969.","Hồ Chí Minh","dễ","Lịch sử Việt Nam 13.pdf","302","2-9-1969"
"89","Chiến dịch phòng không cuối năm 1972 thường được gọi là gì?","“Điện Biên Phủ trên không”.","Kháng chiến chống Mỹ","dễ","Lịch sử Việt Nam 13.pdf","267","“Điện|Biên|Phủ|trên|không”"
"90","Hiệp định Paris về chấm dứt chiến tranh, lập lại hòa bình ở Việt Nam được ký ngày nào?","Ngày 27-1-1973.","Hiệp định Paris","dễ","Lịch sử Việt Nam 13.pdf","273","27-1-1973"
"91","Trận then chốt mở đầu cuộc Tổng tiến công chiến lược năm 1975 diễn ra ở đâu?","Buôn Ma Thuột.","Đại thắng mùa Xuân 1975","dễ","Lịch sử Quân đội NDVN t2_text.pdf","515","Buôn|Thuột"
"92","Chiến dịch Hồ Chí Minh bắt đầu vào ngày nào?","Ngày 26-4-1975.","Đại thắng mùa Xuân 1975","dễ","Lịch sử Quân đội NDVN t2_text.pdf","587","26-4-1975"
"93","Tổng thống cuối cùng của chính quyền Sài Gòn tuyên bố đầu hàng là ai?","Dương Văn Minh.","Đại thắng mùa Xuân 1975","dễ","Lịch sử Việt Nam 13.pdf","534","Dương|Văn|Minh"
"94","Miền Nam Việt Nam hoàn toàn giải phóng vào ngày nào?","Ngày 30-4-1975.","Đại thắng mùa Xuân 1975","dễ","Lịch sử Việt Nam 13.pdf","541","30-4-1975"
"95","Cuộc Tổng tuyển cử bầu Quốc hội chung của cả nước diễn ra ngày nào?","Ngày 25-4-1976.","Việt Nam thống nhất","trung bình","Lịch sử Việt Nam 14.pdf","97","25-4-1976"
"96","Quốc hội quyết định đặt tên nước là Cộng hòa xã hội chủ nghĩa Việt Nam vào ngày nào?","Ngày 2-7-1976.","Việt Nam thống nhất","dễ","Lịch sử Việt Nam 14.pdf","103","2-7-1976"
"97","Việt Nam trở thành thành viên Liên hợp quốc vào ngày nào?","Ngày 20-9-1977.","Đối ngoại","dễ","Lịch sử Việt Nam 14.pdf","332","20-9-1977"
"98","Đại hội nào của Đảng khởi xướng đường lối đổi mới toàn diện đất nước?","Đại hội VI, tháng 12-1986.","Đổi mới","dễ","Lịch sử Việt Nam 15.pdf","414","Đại|hội|12-1986"
"99","Việt Nam gia nhập ASEAN vào ngày nào?","Ngày 27-7-1995 theo tài liệu nguồn.","Đối ngoại","dễ","Lịch sử Việt Nam 15.pdf","206","27-7-1995"
"100","Việt Nam và Hoa Kỳ tuyên bố bình thường hóa quan hệ vào ngày nào?","Ngày 12-7-1995 theo giờ Hà Nội.","Đối ngoại","dễ","Lịch sử Việt Nam 15.pdf","204","12-7-1995|Nội"
